brand,model,year,body,car_mileage,fuel,power,transmission,price
ford,transit,2006.00,other,220.00,diesel,2.0,manual,5350.00
renault,master,2017.00,other,211.00,diesel,2.3,manual,17000.00
opel,vivaro,2015.00,other,157.00,diesel,1.6,manual,15200.00
ford,transit,2000.00,other,300.00,diesel,2.4,manual,4999.00
volkswagen,t4,2002.00,other,270.00,diesel,2.5,manual,12900.00
bmw,530,2000.00,other,331.00,diesel,3.0,automatic,6999.00
volkswagen,caddy,2004.00,other,230.00,diesel,1.9,manual,7300.00
opel,vivaro,2007.00,other,180.00,diesel,2.5,manual,8500.00
kia,rio,2013.00,sedan,57.00,petrol,1.4,automatic,10600.00
infiniti,m35,2007.00,sedan,169.00,gas,3.5,automatic,12700.00
dacia,logan,2009.00,sedan,136.00,gas,1.6,manual,6500.00
honda,accord,2007.00,sedan,156.00,gas,2.4,automatic,9300.00
bmw,525,2006.00,sedan,300.00,diesel,2.5,automatic,7499.00
hyundai,accent,2011.00,sedan,59.00,petrol,1.4,manual,9800.00
ford,fusion,2013.00,sedan,141.00,gas,2.5,automatic,11999.00
skoda,octavia,2009.00,sedan,144.00,petrol,1.8,automatic,8500.00
skoda,octavia,2013.00,sedan,125.00,diesel,2.0,automatic,15500.00
daewoo,sens,2011.00,sedan,117.00,gas,1.3,manual,4000.00
audi,a4,2012.00,sedan,80.00,petrol,2.0,automatic,13999.00
bmw,528,2014.00,sedan,105.00,petrol,2.0,automatic,21600.00
audi,a6,2007.00,sedan,289.00,diesel,2.7,typtronik,9900.00
hyundai,elantra,2012.00,sedan,180.00,petrol,1.8,automatic,10300.00
opel,omega,1998.00,sedan,230.00,gas,2.0,manual,3300.00
mazda,3,2016.00,sedan,68.00,petrol,2.0,typtronik,12500.00
bmw,316,2001.00,sedan,277.00,gas,1.9,manual,6500.00
bmw,745,2003.00,sedan,360.00,gas,4.4,automatic,7500.00
bmw,520,2013.00,sedan,117.00,diesel,2.0,automatic,27700.00
volkswagen,passat,1991.00,sedan,230.00,gas,1.8,manual,2600.00
skoda,octavia,2010.00,sedan,195.00,petrol,1.6,manual,8850.00
subaru,legacy,2015.00,sedan,85.00,gas,2.5,automatic,14300.00
skoda,octavia,2013.00,sedan,183.00,diesel,1.6,manual,11300.00
mazda,6,2004.00,sedan,225.00,gas,2.0,automatic,5700.00
ford,focus,2012.00,sedan,105.00,petrol,1.6,manual,9500.00
ford,fusion,2016.00,sedan,77.00,gas,2.5,automatic,13550.00
kia,optima,2012.00,sedan,114.00,diesel,1.7,automatic,13725.00
audi,a8,2013.00,sedan,105.00,petrol,3.0,automatic,28200.00
bmw,320,2015.00,sedan,72.00,petrol,2.0,automatic,19500.00
mitsubishi,lancer,2007.00,sedan,244.00,gas,2.0,automatic,7500.00
hyundai,elantra,2013.00,sedan,75.00,gas,1.8,automatic,12400.00
audi,a6,2012.00,sedan,182.00,petrol,2.0,automatic,15500.00
mitsubishi,lancer,2005.00,sedan,196.00,petrol,1.6,manual,5400.00
ford,fiesta,2013.00,sedan,86.00,petrol,1.6,automatic,7550.00
maserati,quattroporte,2005.00,sedan,97.00,petrol,4.2,automatic,11999.00
volkswagen,passat,2014.00,sedan,93.00,petrol,1.8,automatic,12250.00
ford,fusion,2017.00,sedan,46.00,gas,2.5,automatic,15888.00
opel,vectra,2006.00,sedan,175.00,gas,2.2,automatic,7350.00
volkswagen,golf,2001.00,sedan,260.00,diesel,1.9,manual,5150.00
toyota,camry,2018.00,sedan,31.00,petrol,2.5,automatic,23590.00
