"brand","model","year","body","car_mileage","fuel","power","transmission","price"
"ford","transit","2006","other","220","diesel","2","manual","0"
"renault","master","2017","other","211","diesel","2.3","manual","1"
"opel","vivaro","2015","other","157","diesel","1.6","manual","1"
"ford","transit","2000","other","300","diesel","2.4","manual","0"
"volkswagen","t4","2002","other","270","diesel","2.5","manual","0"
"bmw","530","2000","other","331","diesel","3","automatic","0"
"volkswagen","caddy","2004","other","230","diesel","1.9","manual","0"
"opel","vivaro","2007","other","180","diesel","2.5","manual","0"
"kia","rio","2013","sedan","57","petrol","1.4","automatic","0"
"infiniti","m35","2007","sedan","169","gas","3.5","automatic","0"
"dacia","logan","2009","sedan","136","gas","1.6","manual","0"
"honda","accord","2007","sedan","156","gas","2.4","automatic","0"
"bmw","525","2006","sedan","300","diesel","2.5","automatic","0"
"hyundai","accent","2011","sedan","59","petrol","1.4","manual","0"
"ford","fusion","2013","sedan","141","gas","2.5","automatic","0"
"skoda","octavia","2009","sedan","144","petrol","1.8","automatic","0"
"skoda","octavia","2013","sedan","125","diesel","2","automatic","1"
"daewoo","sens","2011","sedan","117","gas","1.3","manual","0"
"audi","a4","2012","sedan","80","petrol","2","automatic","0"
"bmw","528","2014","sedan","105","petrol","2","automatic","1"
"audi","a6","2007","sedan","289","diesel","2.7","typtronik","0"
"hyundai","elantra","2012","sedan","180","petrol","1.8","automatic","0"
"opel","omega","1998","sedan","230","gas","2","manual","0"
"mazda","3","2016","sedan","68","petrol","2","typtronik","0"
"bmw","316","2001","sedan","277","gas","1.9","manual","0"
"bmw","745","2003","sedan","360","gas","4.4","automatic","0"
"bmw","520","2013","sedan","117","diesel","2","automatic","1"
"volkswagen","passat","1991","sedan","230","gas","1.8","manual","0"
"skoda","octavia","2010","sedan","195","petrol","1.6","manual","0"
"subaru","legacy","2015","sedan","85","gas","2.5","automatic","0"
"skoda","octavia","2013","sedan","183","diesel","1.6","manual","0"
"mazda","6","2004","sedan","225","gas","2","automatic","0"
"ford","focus","2012","sedan","105","petrol","1.6","manual","0"
"ford","fusion","2016","sedan","77","gas","2.5","automatic","0"
"kia","optima","2012","sedan","114","diesel","1.7","automatic","0"
"audi","a8","2013","sedan","105","petrol","3","automatic","1"
"bmw","320","2015","sedan","72","petrol","2","automatic","1"
"mitsubishi","lancer","2007","sedan","244","gas","2","automatic","0"
"hyundai","elantra","2013","sedan","75","gas","1.8","automatic","0"
"audi","a6","2012","sedan","182","petrol","2","automatic","1"
"mitsubishi","lancer","2005","sedan","196","petrol","1.6","manual","0"
"ford","fiesta","2013","sedan","86","petrol","1.6","automatic","0"
"maserati","quattroporte","2005","sedan","97","petrol","4.2","automatic","0"
"volkswagen","passat","2014","sedan","93","petrol","1.8","automatic","0"
"ford","fusion","2017","sedan","46","gas","2.5","automatic","1"
"opel","vectra","2006","sedan","175","gas","2.2","automatic","0"
"volkswagen","golf","2001","sedan","260","diesel","1.9","manual","0"
"toyota","camry","2018","sedan","31","petrol","2.5","automatic","1"
"mitsubishi","lancer","2008","sedan","190","gas","2","manual","0"
"volkswagen","passat","2011","sedan","102","petrol","2","automatic","0"
"volkswagen","jetta","2016","sedan","60","petrol","1.4","other","0"
"chevrolet","aveo","2007","sedan","162","petrol","1.5","manual","0"
"chevrolet","aveo","2008","sedan","100","gas","1.6","manual","0"
"bmw","340","2016","sedan","69","petrol","3","automatic","1"
"hyundai","elantra","2015","sedan","100","petrol","1.8","automatic","0"
"volkswagen","passat","2017","sedan","57","diesel","2","automatic","1"
"daewoo","nexia","2007","sedan","58","gas","1.5","manual","0"
"chevrolet","aveo","2008","sedan","160","gas","1.6","manual","0"
"bmw","520","1997","sedan","260","petrol","2.5","manual","0"
"chevrolet","aveo","2006","sedan","117","gas","1.5","manual","0"
"toyota","camry","2014","sedan","205","gas","2.5","automatic","1"
"opel","astra","2002","sedan","359","diesel","1.7","manual","0"
"chevrolet","cruze","2012","sedan","100","petrol","1.8","manual","0"
"lexus","is","2011","sedan","82","petrol","2.5","automatic","0"
"rover","75","2000","sedan","187","petrol","2","automatic","0"
"chevrolet","lacetti","2005","sedan","135","gas","1.8","automatic","0"
"volkswagen","passat","1998","sedan","380","gas","1.8","manual","0"
"ford","fusion","2015","sedan","89","petrol","2","automatic","0"
"opel","omega","1991","sedan","370","gas","2.6","manual","0"
"geely","emgrand","2013","sedan","100","gas","1.8","manual","0"
"ford","fusion","2013","sedan","95","petrol","1.6","automatic","0"
"hyundai","elantra","2014","sedan","19","petrol","1.8","automatic","0"
"daewoo","lanos","2007","sedan","203","gas","1.5","manual","0"
"chrysler","neon","1995","sedan","250","gas","2","manual","0"
"nissan","teana","2010","sedan","130","gas","3.5","automatic","0"
"lexus","es","2012","sedan","137","petrol","2.5","automatic","1"
"bmw","318","2002","sedan","212","petrol","2","manual","0"
"geely","ck1","2007","sedan","400","gas","1.5","manual","0"
"audi","a6","1998","sedan","305","gas","2.8","typtronik","0"
"mercedes-benz","e","1995","sedan","254","gas","2.2","automatic","0"
"nissan","maxima","2016","sedan","57","petrol","3.5","automatic","1"
"bmw","525","2001","sedan","383","petrol","2.2","manual","0"
"toyota","avensis","2011","sedan","190","petrol","2","automatic","0"
"nissan","laurel","1991","sedan","195","petrol","2","automatic","0"
"ford","fusion","2015","sedan","62","petrol","2.5","automatic","0"
"volkswagen","passat","2012","sedan","98","petrol","2","automatic","0"
"toyota","corolla","2017","sedan","86","gas","1.6","automatic","1"
"daewoo","lanos","2012","sedan","63","gas","1.5","manual","0"
"chevrolet","aveo","2005","sedan","223","gas","1.5","manual","0"
"mazda","6","2016","sedan","56","petrol","2.5","automatic","1"
"opel","astra","1999","sedan","221","petrol","1.6","manual","0"
"audi","a4","2016","sedan","29","petrol","2","automatic","1"
"honda","accord","2011","sedan","140","gas","2.4","automatic","1"
"ford","fusion","2015","sedan","140","petrol","1.5","automatic","0"
"ford","focus","2015","sedan","94","petrol","2","automatic","0"
"audi","a4","2012","sedan","107","gas","2","automatic","0"
"skoda","octavia","2010","sedan","145","diesel","1.9","manual","0"
"kia","cerato","2009","sedan","58","gas","1.6","manual","0"
"bmw","760","2017","sedan","46","petrol","6.6","automatic","1"
"bmw","525","1990","sedan","340","gas","2.5","manual","0"
"daewoo","sens","2008","sedan","180","gas","1.3","other","0"
"bmw","520","1995","sedan","320","petrol","2","other","0"
"hyundai","accent","2012","sedan","65","petrol","1.4","automatic","0"
"bmw","318","1997","sedan","240","diesel","1.7","manual","0"
"cadillac","ats","2015","sedan","46","petrol","2","typtronik","1"
"daewoo","lanos","2007","sedan","228","gas","1.5","manual","0"
"daewoo","sens","2003","sedan","149","petrol","1.3","manual","0"
"honda","accord","2016","sedan","34","petrol","2.4","automatic","1"
"audi","a6","2012","sedan","240","diesel","3","automatic","1"
"toyota","camry","2007","sedan","240","gas","3.5","automatic","0"
"skoda","octavia","2012","sedan","115","petrol","1.8","manual","0"
"audi","a4","2014","sedan","90","petrol","2","typtronik","1"
"volkswagen","passat","2016","sedan","60","petrol","1.8","automatic","1"
"bmw","528","2013","sedan","135","petrol","2","automatic","1"
"subaru","legacy","2004","sedan","299","gas","2","automatic","0"
"mercedes-benz","c","2003","sedan","300","diesel","2.1","automatic","0"
"mazda","626","2001","sedan","245","petrol","2","manual","0"
"audi","a4","2014","sedan","246","diesel","3","automatic","1"
"audi","a6","2009","sedan","213","gas","2.4","automatic","0"
"mercedes-benz","e","2012","sedan","156","diesel","2.2","automatic","1"
"ford","fusion","2016","sedan","60","petrol","2.5","automatic","0"
"bmw","520","2001","sedan","231","diesel","2","manual","0"
"ford","mondeo","1994","sedan","300","gas","1.6","manual","0"
"chevrolet","cruze","2012","sedan","133","diesel","2","manual","0"
"chevrolet","lacetti","2012","sedan","62","petrol","1.8","manual","0"
"kia","cerato","2009","sedan","260","gas","1.6","manual","0"
"mitsubishi","lancer","2016","sedan","24","petrol","2.4","automatic","0"
"mercedes-benz","c","2001","sedan","186","petrol","2","manual","0"
"volkswagen","passat","2007","sedan","220","diesel","2","automatic","0"
"renault","clio","2007","sedan","205","gas","1.4","manual","0"
"bmw","760","2017","sedan","14","petrol","6.6","automatic","1"
"bmw","328","2013","sedan","138","petrol","2","automatic","1"
"bmw","520","1992","sedan","250","gas","2","manual","0"
"mazda","3","2007","sedan","210","gas","1.6","manual","0"
"dacia","logan","2008","sedan","86","gas","1.4","manual","0"
"chrysler","saratoga","1992","sedan","100","petrol","3","automatic","0"
"daewoo","nubira","1998","sedan","15","gas","1.6","manual","0"
"volkswagen","passat","2011","sedan","144","petrol","1.8","automatic","0"
"volkswagen","passat","2013","sedan","59","petrol","2.5","typtronik","0"
"bmw","330","2003","sedan","225","diesel","3","automatic","0"
"bmw","520","2016","sedan","81","petrol","2","automatic","1"
"renault","logan","2013","sedan","155","diesel","1.5","manual","0"
"mercedes-benz","c","2000","sedan","216","gas","2","manual","0"
"toyota","corolla","2000","sedan","386","gas","1.4","manual","0"
"skoda","octavia","2008","sedan","19","petrol","1.6","manual","0"
"mercedes-benz","s","2010","sedan","155","petrol","5.5","automatic","1"
"kia","cerato","2009","sedan","204","gas","2","manual","0"
"honda","legend","1993","sedan","296","gas","3.2","manual","0"
"volkswagen","jetta","2017","sedan","45","petrol","1.4","automatic","1"
"bmw","528","2011","sedan","170","petrol","2","automatic","1"
"mercedes-benz","s","2013","sedan","110","diesel","3","other","1"
"audi","a6","2015","sedan","61","petrol","3","automatic","1"
"volkswagen","passat","2009","sedan","180","petrol","1.8","manual","0"
"mazda","6","2018","sedan","42","petrol","2","typtronik","1"
"mazda","3","2008","sedan","155","gas","2","manual","0"
"skoda","octavia","2007","sedan","192","diesel","2","automatic","0"
"chevrolet","epica","2007","sedan","144","gas","2.5","automatic","0"
"ford","fusion","2015","sedan","63","gas","2.5","automatic","0"
"audi","a4","2014","sedan","98","petrol","2","automatic","0"
"toyota","camry","2008","sedan","181","gas","2.4","automatic","0"
"volkswagen","passat","2012","sedan","50","petrol","2.5","automatic","0"
"mazda","6","2006","sedan","310","gas","2","automatic","0"
"mercedes-benz","e","2001","sedan","318","petrol","2.8","automatic","0"
"chevrolet","cruze","2010","sedan","140","gas","1.8","manual","0"
"ford","mondeo","2007","sedan","170","gas","2.5","other","0"
"porsche","panamera","2017","sedan","26","petrol","2.9","typtronik","1"
"audi","a8","2013","sedan","240","diesel","3","automatic","1"
"mitsubishi","galant","2002","sedan","240","petrol","2.4","automatic","0"
"opel","omega","1995","sedan","410","gas","2","other","0"
"skoda","fabia","2007","sedan","132","petrol","1.2","manual","0"
"opel","omega","1993","sedan","374","gas","2","manual","0"
"kia","cerato","2008","sedan","119","petrol","2","automatic","0"
"hyundai","accent","2005","sedan","171","gas","1.5","manual","0"
"nissan","primera","2005","sedan","200","gas","1.8","other","0"
"skoda","octavia","2007","sedan","230","gas","1.6","manual","0"
"volkswagen","jetta","2008","sedan","237","gas","1.6","automatic","0"
"chevrolet","aveo","2007","sedan","180","gas","1.5","automatic","0"
"opel","astra","2008","sedan","81","petrol","1.6","manual","0"
"mitsubishi","lancer","2016","sedan","28","petrol","2.4","typtronik","1"
"lexus","gs","2012","sedan","110","petrol","3.5","automatic","1"
"honda","civic","2017","sedan","60","petrol","2","automatic","1"
"skoda","superb","2013","sedan","112","petrol","1.8","manual","1"
"volkswagen","passat","1998","sedan","342","gas","1.8","manual","0"
"mazda","6","2014","sedan","100","petrol","2.5","automatic","1"
"volkswagen","jetta","2006","sedan","177","diesel","1.9","other","0"
"hyundai","sonata","2007","sedan","150","gas","2","manual","0"
"bmw","530","2000","sedan","200","gas","3","typtronik","0"
"volkswagen","passat","2002","sedan","273","gas","1.8","typtronik","0"
"volkswagen","passat","1989","sedan","222","petrol","1.8","manual","0"
"volkswagen","phaeton","2011","sedan","195","petrol","4.2","automatic","1"
"mercedes-benz","e","2012","sedan","186","gas","1.8","automatic","1"
"daewoo","lanos","2011","sedan","145","petrol","1.5","manual","0"
"mitsubishi","lancer","2006","sedan","233","petrol","1.6","manual","0"
"mitsubishi","lancer","2007","sedan","179","petrol","2","manual","0"
"bmw","530","2008","sedan","260","diesel","3","automatic","0"
"daewoo","lanos","2005","sedan","246","gas","1.5","manual","0"
"volkswagen","jetta","1986","sedan","250","diesel","1.6","manual","0"
"toyota","camry","2008","sedan","120","gas","2.4","automatic","0"
"nissan","teana","2007","sedan","201","petrol","2","automatic","0"
"honda","accord","2008","sedan","182","gas","2.4","automatic","0"
"bmw","535","2011","sedan","202","petrol","3","automatic","1"
"daewoo","lanos","2007","sedan","170","gas","1.5","manual","0"
"daewoo","lanos","2007","sedan","250","gas","1.6","manual","0"
"volkswagen","t5","2008","sedan","312","diesel","1.9","manual","0"
"mitsubishi","lancer","2008","sedan","180","gas","2","automatic","0"
"dacia","duster","2013","sedan","245","gas","1.6","manual","0"
"toyota","camry","2013","sedan","150","petrol","2.5","automatic","0"
"bmw","528","2014","sedan","110","petrol","2","typtronik","1"
"bmw","740","2013","sedan","70","petrol","3","automatic","1"
"subaru","legacy","2015","sedan","102","petrol","2.5","automatic","0"
"mercedes-benz","e","2004","sedan","300","petrol","1.8","manual","0"
"mitsubishi","lancer","2007","sedan","156","gas","1.5","manual","0"
"ford","fusion","2016","sedan","80","petrol","2.7","automatic","1"
"volkswagen","passat","2001","sedan","308","diesel","2.5","automatic","0"
"nissan","almera","2007","sedan","236","gas","1.6","other","0"
"hyundai","sonata","2013","sedan","65","petrol","2","automatic","0"
"mercedes-benz","s","1998","sedan","300","gas","3.2","automatic","0"
"kia","optima","2015","sedan","63","petrol","2.4","automatic","0"
"lexus","ls","2008","sedan","132","petrol","4.6","automatic","1"
"ford","fiesta","2017","sedan","60","petrol","1.6","automatic","0"
"bmw","525","1989","sedan","300","petrol","2.5","manual","0"
"toyota","camry","2005","sedan","304","gas","3","automatic","0"
"opel","omega","1995","sedan","244","gas","2","manual","0"
"subaru","legacy","2002","sedan","310","gas","2","automatic","0"
"volkswagen","passat","1994","sedan","202","gas","1.8","manual","0"
"chevrolet","aveo","2009","sedan","220","petrol","1.2","manual","0"
"bmw","523","2005","sedan","205","petrol","2.5","automatic","0"
"bmw","728","1999","sedan","280","gas","2.8","typtronik","0"
"mercedes-benz","e","2010","sedan","202","diesel","2.2","automatic","0"
"audi","100","1991","sedan","330","gas","2.8","manual","0"
"volkswagen","jetta","2015","sedan","170","diesel","2","manual","0"
"opel","vectra","2003","sedan","207","diesel","2","manual","0"
"nissan","almera","2011","sedan","101","petrol","1.6","manual","0"
"mercedes-benz","s","2014","sedan","94","diesel","3","automatic","1"
"mazda","6","2016","sedan","84","gas","2.5","automatic","1"
"daewoo","nexia","2014","sedan","165","petrol","1.5","manual","0"
