"brand","year","body","car_mileage","fuel","power","transmission","price"
"ford","2006","other","220","diesel","2","manual","0"
"renault","2017","other","211","diesel","2.3","manual","1"
"opel","2015","other","157","diesel","1.6","manual","1"
"ford","2000","other","300","diesel","2.4","manual","0"
"volkswagen","2002","other","270","diesel","2.5","manual","0"
"bmw","2000","other","331","diesel","3","automatic","0"
"volkswagen","2004","other","230","diesel","1.9","manual","0"
"opel","2007","other","180","diesel","2.5","manual","0"
"kia","2013","sedan","57","petrol","1.4","automatic","0"
"infiniti","2007","sedan","169","gas","3.5","automatic","0"
"dacia","2009","sedan","136","gas","1.6","manual","0"
"honda","2007","sedan","156","gas","2.4","automatic","0"
"bmw","2006","sedan","300","diesel","2.5","automatic","0"
"hyundai","2011","sedan","59","petrol","1.4","manual","0"
"ford","2013","sedan","141","gas","2.5","automatic","0"
"skoda","2009","sedan","144","petrol","1.8","automatic","0"
"skoda","2013","sedan","125","diesel","2","automatic","1"
"daewoo","2011","sedan","117","gas","1.3","manual","0"
"audi","2012","sedan","80","petrol","2","automatic","0"
"bmw","2014","sedan","105","petrol","2","automatic","1"
"audi","2007","sedan","289","diesel","2.7","typtronik","0"
"hyundai","2012","sedan","180","petrol","1.8","automatic","0"
"opel","1998","sedan","230","gas","2","manual","0"
"mazda","2016","sedan","68","petrol","2","typtronik","0"
"bmw","2001","sedan","277","gas","1.9","manual","0"
"bmw","2003","sedan","360","gas","4.4","automatic","0"
"bmw","2013","sedan","117","diesel","2","automatic","1"
"volkswagen","1991","sedan","230","gas","1.8","manual","0"
"skoda","2010","sedan","195","petrol","1.6","manual","0"
"subaru","2015","sedan","85","gas","2.5","automatic","0"
"skoda","2013","sedan","183","diesel","1.6","manual","0"
"mazda","2004","sedan","225","gas","2","automatic","0"
"ford","2012","sedan","105","petrol","1.6","manual","0"
"ford","2016","sedan","77","gas","2.5","automatic","0"
"kia","2012","sedan","114","diesel","1.7","automatic","0"
"audi","2013","sedan","105","petrol","3","automatic","1"
"bmw","2015","sedan","72","petrol","2","automatic","1"
"mitsubishi","2007","sedan","244","gas","2","automatic","0"
"hyundai","2013","sedan","75","gas","1.8","automatic","0"
